nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
BK21,3,High Opportunity,0.4870325124750719,0.0,0.6932238647202489,0.0,0.0166415098162368,148071.0,0.2594747558771003,0.7310342810006131,0.3403118076261567,0.7691424704486969,0.0,31,0,0.525,0.3,3.870967741935484,0.14576404548349842,High,0.5012553599748281,"MN25,MN17,MN35",29
SI54,3,High Opportunity,0.5707269918239078,0.0,0.6262817992536821,0.0,0.133286147515644,148071.0,0.4173636301612797,0.6190188508048489,0.8864096336766482,0.4987811134689711,0.0,24,0,0.5671641791044776,0.26865671641791045,2.7916666666666665,0.09492956632803114,High,0.49778942969664225,"BX39,QN34,QN53",30
QN34,3,High Opportunity,0.5963235765883945,0.0,0.5828610629714672,0.0,0.2223970588834079,148071.0,0.4502141104803659,0.6097029108352534,0.4655993855692654,0.3664516487894688,0.0,44,0,0.5441860465116279,0.27906976744186046,4.886363636363637,0.11786898411427373,High,0.4952476526467995,"BX39,SI54,QN20",31
QN20,3,High Opportunity,0.5771768175342984,0.0,0.5719070628289232,0.0,0.3177343805482098,148071.0,0.4451291947792474,0.577049592264535,0.4545793903676673,0.3714743659695561,0.0,144,0,0.5294117647058824,0.33206831119544594,3.6597222222222223,0.16569814365765864,High,0.4927731808768204,"BK60,QN42,BX39",32
BX39,3,High Opportunity,0.5817683065141892,0.0,0.5884901760643513,0.0,0.0913886072006096,148071.0,0.4154030934982594,0.6597637239554919,0.5897275111312774,0.40046233948964,0.0,44,0,0.5247524752475248,0.26732673267326734,4.590909090909091,0.12258871996594643,High,0.4926211370246055,"QN34,SI54,QN20",33
SI12,3,High Opportunity,0.5501621392057167,0.0,0.6454757166817603,0.0,0.2005754526425664,148071.0,0.4140256938028098,0.5763463254050701,0.7726346041095832,0.5711517029413883,0.0,20,0,0.5465116279069767,0.11627906976744186,4.3,0.0,High,0.4782551423549908,"QN53,SI54,QN55",34
BK75,3,High Opportunity,0.45418360437763,0.0,0.5893119786924087,0.0,0.3560126747681942,148071.0,0.3640980997144266,0.4757448763097474,0.5220759936008508,0.5936172458013029,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.47451508643588897,"BK63,MN03,BK37",35
BK46,0,Low Demand,0.3505892741253655,0.0,0.3317899761654013,0.0,0.0846706507567362,148071.0,0.2449059112178931,0.4355414873048981,0.7973259284853398,0.1918965141837619,0.0,4,0,0.0,1.0,1.0,1.0,Low,0.4729517001163068,"BK23,SI08,MN99",36
QN18,3,High Opportunity,0.4920355161695447,0.0,0.5761323900345414,0.0,0.2717833977012576,148071.0,0.3822151721223309,0.5148659011719824,0.6784107806405405,0.5083272124886515,0.0,53,0,0.48878923766816146,0.3811659192825112,4.2075471698113205,0.2281766520046958,High,0.4729024928825736,"QN02,BK37,MN17",37
SI45,3,High Opportunity,0.5893903629889133,0.0188679245283018,0.5214090050893124,1.0,0.1236256972860139,148071.0,0.4297956302471024,0.6418280356463776,0.0126247811573552,0.5583740906424931,0.2,53,1,0.5573770491803278,0.3005464480874317,3.452830188679245,0.1243141162836482,High,0.4691825704880199,"BK42,QN17,BK61",38
QN37,1,Growing Market,0.6942448111886294,0.04,0.4154924710033287,1.0,0.4433759447402829,148071.0,0.5353865356314708,0.6540754125200285,0.05969618539571,0.5241583184436378,0.2,25,1,0.4788732394366197,0.2112676056338028,2.84,0.11348757709616107,High,0.4665924282960155,"MN31,QN43,QN72",39
BK63,3,High Opportunity,0.4687013029883168,0.0,0.551998343148775,0.0,0.2668281521787625,148071.0,0.3659350715955564,0.4966082301359696,0.5966783395155845,0.4911179542321418,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.46539671166271024,"BK75,QN68,BK17",40
SI11,0,Low Demand,0.5975588201543078,0.0,0.4744967412011857,0.0,0.05561719794995,148071.0,0.4185178815607856,0.7313841201731328,0.2718553220915722,0.1301679851556462,0.0,41,0,0.5214285714285715,0.34285714285714286,3.4146341463414633,0.17879101191000213,High,0.4645804269241979,"BK81,QN42,QN56",41
BK23,0,Low Demand,0.3301135473566187,0.0,0.3265632098075357,0.0,0.0238330919914928,148071.0,0.1590898407633819,0.4571662385462928,0.8596711376699063,0.2113027386863974,0.0,4,0,0.0,1.0,1.0,1.0,Low,0.46267070286566175,"BK46,SI08,MN99",42
QN68,3,High Opportunity,0.4873450732964351,0.0,0.5199517894480593,0.0,0.2874815535974938,148071.0,0.3805962887930265,0.5090316629809658,0.2927439289786028,0.3938241375854523,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.46003559830567126,"BK17,BK63,BK45",43
QN53,3,High Opportunity,0.543890792734225,0.0,0.5457035621303908,0.0,0.1305957929095849,148071.0,0.3964112315891608,0.5957452360445257,0.3392807616594446,0.3647158561406777,0.0,65,0,0.5590277777777778,0.2604166666666667,4.430769230769231,0.094531250595627,High,0.45474399206497174,"SI54,SI12,BX39",44
QN72,2,Established Hub,0.7125105474039111,0.0434782608695652,0.3407388204415802,3.0,0.4013047500624959,148071.0,0.547144062057814,0.672525917361418,0.3566894337919036,0.3930118372881958,0.6,69,3,0.5225563909774437,0.3157894736842105,3.8550724637681157,0.15869265919539838,High,0.45303827897727617,"QN43,QN37,QN05",45
BK26,0,Low Demand,0.5461158045971203,0.0,0.4367675946598484,0.0,0.0466904039932774,148071.0,0.36342084362372,0.6899842326626324,0.3754450151307215,0.1257108658898554,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.450270212910661,"BX34,BK45,BK40",46
BK17,3,High Opportunity,0.463509263463585,0.0,0.5027200329762077,0.0,0.2064762536728757,156715.0,0.3564414652794933,0.4996989674983561,0.1728378108148736,0.3922993979545893,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.4436085717837906,"QN68,BK63,BK45",47
MN17,1,Growing Market,0.4479735480913342,0.0040431266846361,0.5551036322927642,3.0,2.291776638331082,148071.0,0.3920785634713115,0.4361027818162231,0.4167329587394845,0.5963128827420048,0.6,742,3,0.5156537753222836,0.3760589318600368,3.6590296495956873,0.20640634917858744,High,0.4425121419893569,"BK37,BK21,QN18",48
BK45,0,Low Demand,0.4870515209680988,0.0,0.4747411702888704,0.0,0.1772753571397827,148071.0,0.3657455224265403,0.5284414239610034,0.2830458899278967,0.2964577215028039,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.44183392971066116,"BK17,QN68,BK63",49
MN03,3,High Opportunity,0.4446122823387644,0.0,0.5288881683823418,0.0,0.1460271006384823,163277.0,0.3334303930526317,0.4959216861962559,0.478452410293839,0.4772559088904518,0.0,35,0,0.48717948717948717,0.4188034188034188,3.342857142857143,0.25615135002350947,High,0.4406304502931444,"BK75,BK63,BK37",50
MN35,3,High Opportunity,0.4094004852053962,0.0,0.6010658095103046,0.0,0.1892681202616838,148071.0,0.3157704865333867,0.4595479532927746,0.3307459959401486,0.6862196658727663,0.0,86,0,0.5544871794871795,0.32371794871794873,3.627906976744186,0.14281759659211699,High,0.43275003720470373,"MN25,QN54,BK21",51
BK81,0,Low Demand,0.5516419530819939,0.0,0.4383862148748072,0.0,0.0440033316998264,148071.0,0.366944140659568,0.7042266967791746,0.3662293326838379,0.1209232977930918,0.0,53,0,0.5018450184501845,0.3247232472324723,5.113207547169812,0.17904618814647852,High,0.4318205048120162,"SI11,SI37,QN20",52
MN25,1,Growing Market,0.4338833110990731,0.0043478260869565,0.5444057917662773,1.0,0.9575732809663482,148071.0,0.3711574947058486,0.4380770518568644,0.1367504759811587,0.599383305098977,0.2,230,1,0.5369955156950673,0.3419282511210762,3.878260869565217,0.1676265312198973,High,0.4248409473901196,"MN35,BK21,QN54",53
BK37,1,Growing Market,0.4388290342465439,0.0055555555555555,0.4993522599709464,1.0,0.6079221678647824,148071.0,0.3661747279346683,0.4504641560255976,0.2859342168623273,0.5146266364495876,0.2,180,1,0.5269645608628659,0.41756548536209553,3.6055555555555556,0.2284294603009594,High,0.420958409747188,"MN03,BK75,MN17",54
MN31,1,Growing Market,0.5320177881753684,0.0251572327044025,0.4305866548157118,2.0,0.6051531306737694,148071.0,0.4281684622920735,0.520697359906565,0.5608835285943015,0.5527735179796106,0.4,159,4,0.5114155251141552,0.3302891933028919,4.132075471698113,0.1765666894689864,High,0.4203551150902293,"QN37,QN43,BK83",55
BX26,3,High Opportunity,0.4211783602438567,0.0,0.4841754705253329,0.0,0.0,0.0,0.1425593167100307,0.6795394162781817,0.1005776645324353,0.4156772293792211,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.41925838551554934,"BK17,MN03,BK63",56
BK83,1,Growing Market,0.6190970742233255,0.05,0.381004162559223,1.0,0.1224750605059226,148071.0,0.4535093452617652,0.6704298079793313,0.0641124834282792,0.7289360402593458,0.2,60,3,0.6039215686274509,0.27450980392156865,4.25,0.07431597359095068,High,0.41490368943120953,"QN37,MN31,QN72",57
