nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants
MN15,1,Growing Market,0.36632991041548096,0.010273972602739725,0.395710762766796,2.0,0.8090843278473019,148071.0,0.32419860822497704,0.39096856484174664,0.7265642203935914,0.47780196728698904,0.4,292,3
MN17,1,Growing Market,0.4479735480913342,0.004043126684636119,0.5551036322927642,3.0,2.291776638331082,148071.0,0.39207856347131154,0.43610278181622314,0.4167329587394845,0.5963128827420048,0.6,742,3
MN19,1,Growing Market,0.38553877877367543,0.011204481792717087,0.4122609468917024,2.0,0.839662879401482,148071.0,0.3373128118762615,0.40461196960467904,0.73195639411333,0.5003011207918933,0.4,357,4
MN20,1,Growing Market,0.4311761911944355,0.011560693641618497,0.4650317283847622,2.0,0.5372838901502807,148071.0,0.3585866222633515,0.44739434506510356,0.6459652083984585,0.5519439468669889,0.4,173,2
MN23,1,Growing Market,0.41504708582158406,0.016483516483516484,0.41755327677819487,2.0,1.1959142097795066,148071.0,0.3621772198070909,0.42079805167300843,0.6962113782775242,0.5554717747534013,0.4,182,3
MN24,1,Growing Market,0.22413966491204165,0.011811023622047244,0.28691927818435564,4.0,0.3868108108451336,148071.0,0.22008256448532515,0.2942812952942362,0.30372138038297036,0.48134994825379157,0.8,508,6
MN25,1,Growing Market,0.4338833110990731,0.004347826086956522,0.5444057917662773,1.0,0.9575732809663482,148071.0,0.37115749470584863,0.43807705185686446,0.1367504759811587,0.599383305098977,0.2,230,1
MN27,1,Growing Market,0.37994492315894324,0.018691588785046728,0.3332070975916867,2.0,0.5800867291983435,148071.0,0.3268038403057358,0.40696391474914856,0.8100612442728994,0.46245526104312523,0.4,214,4
MN31,1,Growing Market,0.5320177881753684,0.025157232704402517,0.4305866548157118,2.0,0.6051531306737694,148071.0,0.42816846229207356,0.520697359906565,0.5608835285943015,0.5527735179796106,0.4,159,4
MN32,1,Growing Market,0.2578426553149389,0.006211180124223602,0.34757009332644007,1.0,0.2216380975375626,148071.0,0.2261861241754761,0.3297925956839816,0.34753762010556655,0.4686741503237004,0.2,161,1
QN07,1,Growing Market,0.23425149042446286,0.05555555555555555,0.0,1.0,0.020044650514981124,248326.0,0.13052681805741298,0.3386670743952664,0.29905525684390494,0.39816254093198,0.2,18,1
QN15,1,Growing Market,0.42073380847161646,0.04,0.08525959472143564,1.0,0.030752950299925672,148071.0,0.23500684374953076,0.5653459846781551,0.06575718718194176,0.2200129612903872,0.2,25,1
QN17,1,Growing Market,0.7292050519106005,0.01904761904761905,0.6236496522997139,2.0,0.9001782548209537,148071.0,0.5708367977054007,0.655112965569427,0.142791866194306,0.5728300652153528,0.4,105,2
QN28,1,Growing Market,0.43248616281491375,0.035897435897435895,0.23662998333496926,3.0,0.5385375053607355,148071.0,0.3594960646977081,0.4483371400598842,0.2174958246517233,0.4614766688613037,0.6,195,7
QN29,1,Growing Market,0.3665224169665069,0.007936507936507936,0.3828416849133647,1.0,0.46815117481121654,148071.0,0.31356810477074015,0.4009630540090608,0.3919222152643437,0.41071504336219067,0.2,126,1
QN31,1,Growing Market,0.37025176224720274,0.023809523809523808,0.31696384424394963,2.0,0.8518869728355607,148071.0,0.32761502142117677,0.3930641960429551,0.7652868841865299,0.5271539510266666,0.4,210,5
QN37,1,Growing Market,0.6942448111886294,0.04,0.4154924710033287,1.0,0.44337594474028297,148071.0,0.5353865356314708,0.6540754125200285,0.059696185395710054,0.5241583184436378,0.2,25,1
QN41,1,Growing Market,0.5354803784761076,0.03225806451612903,0.3419540701786794,1.0,0.2821792982495822,148071.0,0.41305052044665946,0.5485442890804548,0.3859116943765674,0.47418283809276196,0.2,31,1
QN55,1,Growing Market,0.504439034814834,0.00980392156862745,0.47725661171588574,1.0,0.607394886211532,148071.0,0.4096998561986499,0.4998712746361263,0.2337072048038314,0.4392169433176668,0.2,102,1
QN60,1,Growing Market,0.4286547569386303,0.04,0.18279546154314183,1.0,0.11544073860199723,148071.0,0.30975844422159066,0.4963175069493008,0.5033938620728938,0.41913651464553836,0.2,25,1
QN63,1,Growing Market,0.322013197563565,0.009523809523809525,0.3259577115644333,1.0,0.11159024835807622,148071.0,0.23991085363994427,0.400197747432441,0.21647897949280032,0.380873512772772,0.2,105,1
QN71,1,Growing Market,0.41419916461972855,0.0425531914893617,0.10234220588614189,2.0,0.19374009172607953,148071.0,0.31971045635090795,0.46279003759040355,0.3086503280940421,0.3093239182775564,0.4,47,2
SI01,1,Growing Market,0.34206404648509975,0.023809523809523808,0.38873673502416706,1.0,0.023088431013734947,175756.0,0.17498677809686755,0.4679828730668739,0.27080128163386735,0.7247059661394182,0.2,42,1
SI22,1,Growing Market,0.29948566263969245,0.01694915254237288,0.23664250701059808,1.0,0.048044315817814924,148071.0,0.1844502740505839,0.401877533602316,0.1310585786114027,0.3451997897308242,0.2,59,1
BK19,2,Established Hub,0.6646029857418384,0.07042253521126761,0.15410227952722416,2.0,0.28672265413961723,148071.0,0.5060642565386486,0.6518197574567137,0.703207005228699,0.5101828064918692,0.4,71,5
BK29,2,Established Hub,0.5988620593382075,0.05,0.18629361485439286,2.0,0.2127706578824159,148071.0,0.4509926138403465,0.6142779708611124,0.19965259956933795,0.3380599848849664,0.4,80,4
BK31,2,Established Hub,0.6116607201991346,0.07258064516129033,0.1212721487650576,3.0,1.3309013415955757,148071.0,0.49512617581013774,0.5611713048122429,0.7837570595010174,0.5545413852584448,0.6,124,9
BK41,2,Established Hub,0.810045521048644,0.15,0.0,5.0,0.34672372421567427,148071.0,0.6197643329306723,0.7554305320793655,0.41031755389740865,0.4207718928472904,1.0,60,9
BK43,2,Established Hub,0.4523193074559754,0.0967741935483871,0.0,2.0,0.5547025279284541,148071.0,0.3731791215095715,0.46270861578749894,0.5278313318240127,0.3504045347806022,0.4,62,6
BK44,2,Established Hub,0.607043375039303,0.08771929824561403,0.0,2.0,0.3881782667634333,148071.0,0.47061086894267573,0.5923750593350264,0.7135848558827484,0.5086943743564866,0.4,57,5
MN22,2,Established Hub,0.3856762039269121,0.029177718832891247,0.28806063116015357,5.0,1.0581005209567689,148071.0,0.3411125954311098,0.40114356522817607,0.0314727867988099,0.5309592147490707,1.0,377,11
QN05,2,Established Hub,0.6873354742309443,0.05555555555555555,0.2296594947415837,1.0,0.14502194365489718,170338.0,0.5148767377548442,0.7067016836234193,0.14330516457147577,0.3917583686624155,0.2,18,1
QN43,2,Established Hub,0.8884590128779318,0.06666666666666667,0.369441231861477,1.0,0.3239919035174809,148071.0,0.6836153004161374,0.819858780914475,0.32117641367575567,0.5776561540017173,0.2,15,1
