nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,moran_ii,moran_p,moran_q,lisa_opportunity,halal_demand_forecast_norm,final_score_adjusted
QN18,3,High Opportunity,0.4920355161695447,0.0,0.5761323900345414,0.0,0.2717833977012576,148071.0,0.3822151721223309,0.5148659011719824,0.6784107806405405,0.5083272124886515,0.0,53,0,0.4887892376681614,0.3811659192825112,4.2075471698113205,0.2281766520046958,0.4729024928825736,"QN02,BK37,MN17",46,1.0,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.41807433435599095
SI45,3,High Opportunity,0.5893903629889133,0.0188679245283018,0.5214090050893124,1.0,0.1236256972860139,148071.0,0.4297956302471024,0.6418280356463776,0.0126247811573552,0.5583740906424931,0.2,53,1,0.5573770491803278,0.3005464480874317,3.452830188679245,0.1243141162836482,0.4691825704880199,"BK42,QN17,BK61",47,1.0,High,High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.41478569853282315
QN37,1,Growing Market,0.6942448111886294,0.04,0.4154924710033287,1.0,0.4433759447402829,148071.0,0.5353865356314708,0.6540754125200285,0.05969618539571,0.5241583184436378,0.2,25,1,0.4788732394366197,0.2112676056338028,2.84,0.113487577096161,0.4665924282960155,"MN31,QN43,QN72",48,1.0000000000000007,High,High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.41249585656940063
SI11,0,Low Demand,0.5975588201543078,0.0,0.4744967412011857,0.0,0.05561719794995,148071.0,0.4185178815607856,0.7313841201731328,0.2718553220915722,0.1301679851556462,0.0,41,0,0.5214285714285715,0.3428571428571428,3.414634146341464,0.1787910119100021,0.4645804269241979,"BK81,QN42,QN56",49,1.0,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.41071712597079746
QN53,3,High Opportunity,0.543890792734225,0.0,0.5457035621303908,0.0,0.1305957929095849,148071.0,0.3964112315891608,0.5957452360445257,0.3392807616594446,0.3647158561406777,0.0,65,0,0.5590277777777778,0.2604166666666667,4.430769230769231,0.094531250595627,0.4547439920649717,"SI54,SI12,BX39",50,1.0,High,Medium-High Risk,High confidence,0.6195582649638652,0.0,0.0,1.0,LL,False,0.5886907920482625,0.4092871993289989
QN72,2,Established Hub,0.7125105474039111,0.0434782608695652,0.3407388204415802,3.0,0.4013047500624959,148071.0,0.547144062057814,0.672525917361418,0.3566894337919036,0.3930118372881958,0.6,69,3,0.5225563909774437,0.3157894736842105,3.855072463768116,0.1586926591953983,0.4530382789772761,"QN43,QN37,QN05",51,0.9999999999999999,High,High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.40051317083718413
BK85,0,Low Demand,0.4072048005284418,0.0,0.4054752383909706,0.0,0.0137396807454601,148071.0,0.1731132632120483,0.6007740195934201,0.657879049328302,0.2663808096881571,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.3821888687756384,"QN08,MN21,MN09",52,7.029732433094725e-92,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.3975035503623987
MN17,1,Growing Market,0.4479735480913342,0.0040431266846361,0.5551036322927642,3.0,2.291776638331082,148071.0,0.3920785634713115,0.4361027818162231,0.4167329587394845,0.5963128827420048,0.6,742,3,0.5156537753222836,0.3760589318600368,3.6590296495956873,0.2064063491785874,0.4425121419893569,"BK37,BK21,QN18",53,1.0,High,Medium-High Risk,High confidence,0.535754542492973,0.0,0.0,1.0,LL,False,0.48986891685336703,0.39456102090467043
MN03,3,High Opportunity,0.4446122823387644,0.0,0.5288881683823418,0.0,0.1460271006384823,163277.0,0.3334303930526317,0.4959216861962559,0.478452410293839,0.4772559088904518,0.0,35,0,0.4871794871794871,0.4188034188034188,3.342857142857143,0.2561513500235094,0.4406304502931444,"BK75,BK63,BK37",54,1.0,High,Medium-High Risk,High confidence,0.47187793199676614,0.0,0.0,1.0,LL,False,0.41454521709144276,0.39006208863145175
MN35,3,High Opportunity,0.4094004852053962,0.0,0.6010658095103046,0.0,0.1892681202616838,148071.0,0.3157704865333867,0.4595479532927746,0.3307459959401486,0.6862196658727663,0.0,86,0,0.5544871794871795,0.3237179487179487,3.627906976744186,0.1428175965921169,0.4327500372047037,"MN25,QN54,BK21",55,0.9999999999999999,High,Medium-High Risk,High confidence,0.44470459724359646,0.0,0.0,1.0,LL,False,0.38250225030629137,0.3819073999833273
BK81,0,Low Demand,0.5516419530819939,0.0,0.4383862148748072,0.0,0.0440033316998264,148071.0,0.366944140659568,0.7042266967791746,0.3662293326838379,0.1209232977930918,0.0,53,0,0.5018450184501845,0.3247232472324723,5.113207547169812,0.1790461881464785,0.4318205048120162,"SI11,SI37,QN20",56,1.0000000000000004,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.38175537838701945
MN09,0,Low Demand,0.3401515668762906,0.0,0.4470345022145748,0.0,0.4257570201120374,110193.0,0.2871599906076805,0.3886958629723069,0.0482171088146009,0.4568682167785679,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.3719912808442197,"MN21,QN50,QN08",57,1.0237999498952113e-89,Low,Medium-Low Risk,Low confidence,0.328160728878984,0.0,0.0,1.0,LL,False,0.24507298971159258,0.38110778237853343
MN25,1,Growing Market,0.4338833110990731,0.0043478260869565,0.5444057917662773,1.0,0.9575732809663482,148071.0,0.3711574947058486,0.4380770518568644,0.1367504759811587,0.599383305098977,0.2,230,1,0.5369955156950673,0.3419282511210762,3.878260869565217,0.1676265312198973,0.4248409473901196,"MN35,BK21,QN54",58,1.0,High,Medium-High Risk,High confidence,0.4879473008459777,0.0,0.0,1.0,LL,False,0.43349431763323665,0.37676892689188235
MN31,1,Growing Market,0.5320177881753684,0.0251572327044025,0.4305866548157118,2.0,0.6051531306737694,148071.0,0.4281684622920735,0.520697359906565,0.5608835285943015,0.5527735179796106,0.4,159,4,0.5114155251141552,0.3302891933028919,4.132075471698113,0.1765666894689864,0.4203551150902293,"QN37,QN43,BK83",59,0.9999999999999999,High,Medium-High Risk,High confidence,0.5697237055791653,0.0,0.0,1.0,LL,False,0.5299255670355197,0.376236186257935
MN21,0,Low Demand,0.3411198851405583,0.0,0.4046997063750443,0.0,0.2415047408173289,148071.0,0.2799854825619316,0.3958028627012144,0.5256250133439333,0.3638304295517734,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.3554446898141145,"QN50,MN09,QN08",60,9.542051227567531e-90,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.3696877060056811
